   2, (E2)5685[LED2], (A8)5725[LED3], (B4)5790[LED6], (F5)5820[LED6], 88, -708, KEEP, 
   4, (R2)5695[LED2], (A8)5725[LED3], (A5)5785[LED4], (F5)5820[LED6], 86, -1039, KEEP LED safe, 
   6, (R2)5695[LED2], (A8)5725[LED3], (A5)5785[LED4], (B5)5809[LED6], 84, -1013, KEEP LED safe, 
   9, (E2)5685[LED2], (E1)5705[LED2], (F3)5780[LED4], (F5)5820[LED6], 78, -328, KEEP, 
  10, (E2)5685[LED2], (E1)5705[LED2], (A5)5785[LED4], (F5)5820[LED6], 78, -538, KEEP, 
  11, (E2)5685[LED2], (A8)5725[LED3], (F4)5800[LED6], (F5)5820[LED6], 78, -328, KEEP, 
  12, (R2)5695[LED2], (A8)5725[LED3], (F3)5780[LED4], (A4)5805[LED6], 78, -1100, KEEP LED safe, 
  13, (E2)5685[LED2], (E1)5705[LED2], (B3)5771[LED4], (A4)5805[LED6], 77, -591, KEEP, 
  14, (R2)5695[LED2], (A8)5725[LED3], (A5)5785[LED4], (R5)5806[LED6], 77, -867, KEEP LED safe, 
  15, (E2)5685[LED2], (E1)5705[LED2], (R4)5769[LED4], (F4)5800[LED6], 76, -760, KEEP, 
  16, (E2)5685[LED2], (E1)5705[LED2], (B3)5771[LED4], (R5)5806[LED6], 76, -544, KEEP, 
  17, (R2)5695[LED2], (R3)5732[LED3], (F4)5800[LED6], (F5)5820[LED6], 76, -453, KEEP, 
  18, (E2)5685[LED2], (E1)5705[LED2], (B4)5790[LED6], (F5)5820[LED6], 75, -825, KEEP, 
  19, (R2)5695[LED2], (A8)5725[LED3], (F4)5800[LED6], (F5)5820[LED6], 75, -825, KEEP, 
  20, (E1)5705[LED2], (A8)5725[LED3], (B4)5790[LED6], (F5)5820[LED6], 75, -825, KEEP, 
  22, (E2)5685[LED2], (E1)5705[LED2], (B3)5771[LED4], (F4)5800[LED6], 74, -894, KEEP, 
  23, (E2)5685[LED2], (E1)5705[LED2], (F3)5780[LED4], (B5)5809[LED6], 74, -894, KEEP, 
  24, (R2)5695[LED2], (A8)5725[LED3], (A5)5785[LED4], (A4)5805[LED6], 74, -826, KEEP LED safe, 
  25, (R2)5695[LED2], (R3)5732[LED3], (B4)5790[LED6], (F5)5820[LED6], 74, -948, KEEP, 
  26, (R2)5695[LED2], (B1)5733[LED3], (F4)5800[LED6], (F5)5820[LED6], 74, -419, KEEP, 
  27, (E2)5685[LED2], (E1)5705[LED2], (R4)5769[LED4], (A4)5805[LED6], 73, -510, KEEP, 
  28, (E2)5685[LED2], (E1)5705[LED2], (B3)5771[LED4], (B5)5809[LED6], 73, -424, KEEP, 
  29, (E1)5705[LED2], (B1)5733[LED3], (F4)5800[LED6], (F5)5820[LED6], 73, -967, KEEP, 
  30, (R2)5695[LED2], (A8)5725[LED3], (B4)5790[LED6], (B5)5809[LED6], 72, -788, KEEP, 
  31, (E2)5685[LED2], (E1)5705[LED2], (R4)5769[LED4], (R5)5806[LED6], 71, -472, KEEP, 
  32, (E1)5705[LED2], (R3)5732[LED3], (F4)5800[LED6], (F5)5820[LED6], 71, -1043, KEEP, 
  35, (E2)5685[LED2], (E1)5705[LED2], (F3)5780[LED4], (R5)5806[LED6], 69, -1123, KEEP, 
  37, (E1)5705[LED2], (R3)5732[LED3], (A5)5785[LED4], (R5)5806[LED6], 69, -1102, KEEP LED safe, 
  38, (E2)5685[LED2], (E1)5705[LED2], (A6)5765[LED4], (B4)5790[LED6], 68, -1208, KEEP, 
  39, (E2)5685[LED2], (E1)5705[LED2], (A6)5765[LED4], (F4)5800[LED6], 68, -578, KEEP, 
  40, (E2)5685[LED2], (E1)5705[LED2], (F3)5780[LED4], (A4)5805[LED6], 68, -1208, KEEP, 
  41, (E2)5685[LED2], (A8)5725[LED3], (A5)5785[LED4], (F5)5820[LED6], 68, -1110, KEEP LED safe, 
  42, (E1)5705[LED2], (A8)5725[LED3], (F3)5780[LED4], (R5)5806[LED6], 68, -1125, KEEP LED safe, 
  43, (E1)5705[LED2], (A8)5725[LED3], (F3)5780[LED4], (B5)5809[LED6], 68, -914, KEEP LED safe, 
  44, (E1)5705[LED2], (A8)5725[LED3], (A5)5785[LED4], (F5)5820[LED6], 68, -578, KEEP LED safe, 
  45, (E1)5705[LED2], (B1)5733[LED3], (B4)5790[LED6], (B5)5809[LED6], 68, -926, KEEP, 
  46, (E1)5705[LED2], (F1)5740[LED3], (F4)5800[LED6], (F5)5820[LED6], 68, -578, KEEP, 
  47, (R2)5695[LED2], (B1)5733[LED3], (B4)5790[LED6], (F5)5820[LED6], 67, -912, KEEP, 
  48, (E1)5705[LED2], (R3)5732[LED3], (B4)5790[LED6], (B5)5809[LED6], 67, -1000, KEEP, 
  49, (E2)5685[LED2], (E1)5705[LED2], (F2)5760[LED4], (A5)5785[LED4], 66, -1209, KEEP, 
  50, (E2)5685[LED2], (E1)5705[LED2], (F2)5760[LED4], (B4)5790[LED6], 66, -856, KEEP, 
  51, (R2)5695[LED2], (A8)5725[LED3], (F3)5780[LED4], (F4)5800[LED6], 66, -856, KEEP LED safe, 
  52, (E1)5705[LED2], (A8)5725[LED3], (F3)5780[LED4], (A4)5805[LED6], 66, -1209, KEEP LED safe, 
  53, (E1)5705[LED2], (R3)5732[LED3], (A5)5785[LED4], (A4)5805[LED6], 66, -1053, KEEP LED safe, 
  54, (E2)5685[LED2], (E1)5705[LED2], (R4)5769[LED4], (B5)5809[LED6], 65, -376, KEEP, 
  56, (E2)5685[LED2], (A8)5725[LED3], (A5)5785[LED4], (B5)5809[LED6], 65, -508, KEEP LED safe, 
  59, (E1)5705[LED2], (B1)5733[LED3], (A5)5785[LED4], (R5)5806[LED6], 65, -1044, KEEP LED safe, 
  60, (E2)5685[LED2], (A8)5725[LED3], (B4)5790[LED6], (B5)5809[LED6], 64, -390, KEEP, 
  62, (E1)5705[LED2], (B1)5733[LED3], (A5)5785[LED4], (A4)5805[LED6], 62, -998, KEEP LED safe, 
  63, (R2)5695[LED2], (A8)5725[LED3], (B4)5790[LED6], (R5)5806[LED6], 61, -699, KEEP, 
  64, (E2)5685[LED2], (A8)5725[LED3], (A4)5805[LED6], (F5)5820[LED6], 60, -480, KEEP, 
  65, (R2)5695[LED2], (R3)5732[LED3], (A4)5805[LED6], (F5)5820[LED6], 60, -521, KEEP, 
  66, (R2)5695[LED2], (B1)5733[LED3], (A4)5805[LED6], (F5)5820[LED6], 60, -507, KEEP, 
  67, (E1)5705[LED2], (R3)5732[LED3], (A5)5785[LED4], (F5)5820[LED6], 60, -945, KEEP LED safe, 
  70, (E2)5685[LED2], (A8)5725[LED3], (A5)5785[LED4], (R5)5806[LED6], 58, -434, KEEP LED safe, 
  71, (E2)5685[LED2], (R3)5732[LED3], (F4)5800[LED6], (F5)5820[LED6], 58, -309, KEEP, 
  72, (R2)5695[LED2], (A8)5725[LED3], (B4)5790[LED6], (A4)5805[LED6], 58, -678, KEEP, 
  73, (R2)5695[LED2], (A8)5725[LED3], (A4)5805[LED6], (F5)5820[LED6], 58, -678, KEEP, 
  76, (E1)5705[LED2], (F1)5740[LED3], (A4)5805[LED6], (F5)5820[LED6], 58, -565, KEEP, 
  78, (E1)5705[LED2], (R3)5732[LED3], (B4)5790[LED6], (R5)5806[LED6], 57, -890, KEEP, 
  79, (E1)5705[LED2], (B1)5733[LED3], (B4)5790[LED6], (R5)5806[LED6], 57, -824, KEEP, 
  80, (E2)5685[LED2], (A8)5725[LED3], (R5)5806[LED6], (F5)5820[LED6], 56, -522, KEEP, 
  81, (R2)5695[LED2], (A8)5725[LED3], (A5)5785[LED4], (F4)5800[LED6], 56, -679, KEEP LED safe, 
  82, (R2)5695[LED2], (R3)5732[LED3], (R5)5806[LED6], (F5)5820[LED6], 56, -560, KEEP, 
  83, (R2)5695[LED2], (B1)5733[LED3], (R5)5806[LED6], (F5)5820[LED6], 56, -546, KEEP, 
  87, (E2)5685[LED2], (E1)5705[LED2], (A6)5765[LED4], (A4)5805[LED6], 55, -418, KEEP, 
  91, (E2)5685[LED2], (A8)5725[LED3], (A5)5785[LED4], (A4)5805[LED6], 55, -418, KEEP LED safe, 
  92, (R2)5695[LED2], (R3)5732[LED3], (B4)5790[LED6], (B5)5809[LED6], 55, -504, KEEP, 
  96, (E1)5705[LED2], (B1)5733[LED3], (A4)5805[LED6], (F5)5820[LED6], 55, -795, KEEP, 
  98, (E2)5685[LED2], (A8)5725[LED3], (B4)5790[LED6], (R5)5806[LED6], 54, -482, KEEP, 
  99, (E2)5685[LED2], (F1)5740[LED3], (B3)5771[LED4], (F5)5820[LED6], 54, -1088, KEEP LED safe, 
 100, (E1)5705[LED2], (R3)5732[LED3], (A4)5805[LED6], (F5)5820[LED6], 54, -860, KEEP, 
 101, (E1)5705[LED2], (F1)5740[LED3], (R5)5806[LED6], (F5)5820[LED6], 54, -597, KEEP, 
 102, (R2)5695[LED2], (A8)5725[LED3], (R5)5806[LED6], (F5)5820[LED6], 53, -707, KEEP, 
 103, (E1)5705[LED2], (R3)5732[LED3], (B4)5790[LED6], (A4)5805[LED6], 53, -860, KEEP, 
 104, (E1)5705[LED2], (B1)5733[LED3], (A5)5785[LED4], (F5)5820[LED6], 53, -1036, KEEP LED safe, 
 105, (E1)5705[LED2], (B1)5733[LED3], (B4)5790[LED6], (A4)5805[LED6], 53, -797, KEEP, 
 106, (E2)5685[LED2], (E1)5705[LED2], (A6)5765[LED4], (R5)5806[LED6], 52, -412, KEEP, 
 109, (E2)5685[LED2], (R3)5732[LED3], (A4)5805[LED6], (F5)5820[LED6], 52, -458, KEEP, 
 110, (E2)5685[LED2], (B1)5733[LED3], (F4)5800[LED6], (F5)5820[LED6], 52, -324, KEEP, 
 112, (E1)5705[LED2], (R3)5732[LED3], (F3)5780[LED4], (F4)5800[LED6], 52, -1102, KEEP LED safe, 
 113, (A8)5725[LED3], (B2)5752[LED4], (F4)5800[LED6], (F5)5820[LED6], 52, -1102, KEEP, 
 114, (E2)5685[LED2], (R4)5769[LED4], (A5)5785[LED4], (F5)5820[LED6], 51, -384, KEEP, 
 115, (E1)5705[LED2], (B1)5733[LED3], (R5)5806[LED6], (F5)5820[LED6], 51, -772, KEEP, 
 116, (E2)5685[LED2], (A8)5725[LED3], (F3)5780[LED4], (R5)5806[LED6], 50, -648, KEEP LED safe, 
 117, (E2)5685[LED2], (A8)5725[LED3], (F3)5780[LED4], (B5)5809[LED6], 50, -796, KEEP LED safe, 
 118, (E2)5685[LED2], (A8)5725[LED3], (B4)5790[LED6], (A4)5805[LED6], 50, -520, KEEP, 
 120, (E2)5685[LED2], (R3)5732[LED3], (R5)5806[LED6], (F5)5820[LED6], 50, -501, KEEP, 
 121, (E2)5685[LED2], (R4)5769[LED4], (A4)5805[LED6], (F5)5820[LED6], 50, -431, KEEP, 
 122, (R2)5695[LED2], (R3)5732[LED3], (A5)5785[LED4], (B5)5809[LED6], 50, -712, KEEP LED safe, 
 124, (E1)5705[LED2], (R3)5732[LED3], (R5)5806[LED6], (F5)5820[LED6], 50, -834, KEEP, 
 127, (E2)5685[LED2], (A8)5725[LED3], (F3)5780[LED4], (A4)5805[LED6], 49, -611, KEEP LED safe, 
 128, (R2)5695[LED2], (A8)5725[LED3], (F3)5780[LED4], (F5)5820[LED6], 49, -859, KEEP LED safe, 
 129, (R2)5695[LED2], (B1)5733[LED3], (B4)5790[LED6], (B5)5809[LED6], 49, -489, KEEP, 
 130, (E1)5705[LED2], (R3)5732[LED3], (A5)5785[LED4], (F4)5800[LED6], 49, -870, KEEP LED safe, 
 131, (A8)5725[LED3], (B2)5752[LED4], (A4)5805[LED6], (F5)5820[LED6], 49, -870, KEEP, 
 133, (E2)5685[LED2], (B1)5733[LED3], (A4)5805[LED6], (F5)5820[LED6], 48, -471, KEEP, 
 134, (E2)5685[LED2], (R4)5769[LED4], (R5)5806[LED6], (F5)5820[LED6], 48, -482, KEEP, 
 137, (E2)5685[LED2], (B3)5771[LED4], (A4)5805[LED6], (F5)5820[LED6], 47, -434, KEEP, 
 139, (E2)5685[LED2], (E1)5705[LED2], (B2)5752[LED4], (F3)5780[LED4], 46, -1055, KEEP, 
 140, (E2)5685[LED2], (B1)5733[LED3], (R5)5806[LED6], (F5)5820[LED6], 46, -514, KEEP, 
 141, (E2)5685[LED2], (B3)5771[LED4], (A5)5785[LED4], (F5)5820[LED6], 46, -483, KEEP, 
 142, (E2)5685[LED2], (B3)5771[LED4], (R5)5806[LED6], (F5)5820[LED6], 46, -483, KEEP, 
 143, (E1)5705[LED2], (B1)5733[LED3], (F3)5780[LED4], (F4)5800[LED6], 46, -1055, KEEP LED safe, 
 144, (A8)5725[LED3], (B2)5752[LED4], (R5)5806[LED6], (F5)5820[LED6], 46, -838, KEEP, 
 145, (E2)5685[LED2], (E1)5705[LED2], (B3)5771[LED4], (F5)5820[LED6], 45, -344, KEEP, 
 146, (E2)5685[LED2], (A8)5725[LED3], (F1)5740[LED3], (F5)5820[LED6], 45, -465, KEEP, 
 147, (E2)5685[LED2], (A6)5765[LED4], (F3)5780[LED4], (F5)5820[LED6], 45, -465, KEEP, 
 148, (E2)5685[LED2], (A6)5765[LED4], (A4)5805[LED6], (F5)5820[LED6], 45, -465, KEEP, 
 151, (E1)5705[LED2], (B1)5733[LED3], (A5)5785[LED4], (F4)5800[LED6], 45, -826, KEEP LED safe, 
 153, (E2)5685[LED2], (B1)5733[LED3], (A6)5765[LED4], (F5)5820[LED6], 44, -1053, KEEP LED safe, 
 154, (E2)5685[LED2], (A7)5745[LED3], (R4)5769[LED4], (F5)5820[LED6], 44, -912, KEEP LED safe, 
 155, (R2)5695[LED2], (R3)5732[LED3], (A5)5785[LED4], (R5)5806[LED6], 44, -615, KEEP LED safe, 
 156, (R2)5695[LED2], (R3)5732[LED3], (B4)5790[LED6], (R5)5806[LED6], 44, -565, KEEP, 
 157, (E2)5685[LED2], (A6)5765[LED4], (R5)5806[LED6], (F5)5820[LED6], 43, -516, KEEP, 
 159, (E2)5685[LED2], (A8)5725[LED3], (B5)5809[LED6], (F5)5820[LED6], 42, -670, KEEP, 
 160, (E2)5685[LED2], (A7)5745[LED3], (B3)5771[LED4], (F5)5820[LED6], 42, -766, KEEP LED safe, 
 161, (R2)5695[LED2], (R3)5732[LED3], (B5)5809[LED6], (F5)5820[LED6], 42, -697, KEEP, 
 162, (R2)5695[LED2], (B1)5733[LED3], (B5)5809[LED6], (F5)5820[LED6], 42, -687, KEEP, 
 164, (E1)5705[LED2], (F1)5740[LED3], (B5)5809[LED6], (F5)5820[LED6], 42, -722, KEEP, 
 166, (E2)5685[LED2], (E1)5705[LED2], (A6)5765[LED4], (B5)5809[LED6], 41, -410, KEEP, 
 169, (R2)5695[LED2], (R3)5732[LED3], (A5)5785[LED4], (A4)5805[LED6], 41, -591, KEEP LED safe, 
 170, (R2)5695[LED2], (B1)5733[LED3], (A5)5785[LED4], (B5)5809[LED6], 41, -693, KEEP LED safe, 
 171, (R2)5695[LED2], (B3)5771[LED4], (A4)5805[LED6], (F5)5820[LED6], 41, -459, KEEP, 
 175, (E2)5685[LED2], (R3)5732[LED3], (B5)5809[LED6], (F5)5820[LED6], 40, -659, KEEP, 
 176, (E2)5685[LED2], (R4)5769[LED4], (F3)5780[LED4], (F5)5820[LED6], 40, -652, KEEP, 
 177, (E2)5685[LED2], (R4)5769[LED4], (B5)5809[LED6], (F5)5820[LED6], 40, -652, KEEP, 
 178, (R2)5695[LED2], (A8)5725[LED3], (B5)5809[LED6], (F5)5820[LED6], 40, -820, KEEP, 
